trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-716.85803,46.735107,-670.1229,-763.59314,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,26.34980320930481,0.23505469,-1853.2247
-485.7986,128.74643,-357.0522,-614.54504,201.0,-695.2221,133.41002,-537.61536,-906.6403,201.0,20904,0.0,0.0,71.04432129859924,0.19763736,-1853.2247
-301.5872,9.330933,-292.25626,-310.91812,201.0,-435.09326,81.38743,-352.20508,-555.7925,201.0,21708,0.0,0.0,113.98514032363892,0.19912003,-1853.2247
-279.0609,2.83638,-276.22455,-281.8973,201.0,-315.48312,5.606606,-310.13593,-324.1264,201.0,22512,0.0,0.0,157.57533431053162,0.18364823,-1853.2247
-282.58084,0.31384277,-282.267,-282.89468,201.0,-300.26904,9.136466,-293.47656,-315.99695,201.0,23316,0.0,0.0,199.33493614196777,0.18974806,-1853.2247
-272.8427,12.61734,-260.22537,-285.46005,201.0,-295.34555,16.89349,-279.66602,-323.38327,201.0,24120,0.0,0.0,242.108873128891,0.1789157,-1853.2247
-300.63257,0.34465027,-300.2879,-300.9772,201.0,-295.27234,23.636984,-255.13608,-314.3736,201.0,24924,0.0,0.0,286.24763464927673,0.18305032,-1853.2247
-280.3134,9.203247,-271.11014,-289.51663,201.0,-272.09958,7.4812307,-263.64026,-283.36475,201.0,25728,0.0,0.0,328.9041771888733,0.1835555,-1853.2247
-280.02634,7.3385315,-272.6878,-287.36487,201.0,-294.85043,26.194197,-259.13586,-323.03116,201.0,26532,0.0,0.0,372.47411251068115,0.18367033,-1853.2247
-275.90707,0.5003357,-275.40674,-276.4074,201.0,-271.9435,22.899187,-244.80734,-299.30753,201.0,27336,0.0,0.0,414.0408275127411,0.17838211,-1853.2247
-275.97028,25.926216,-250.04405,-301.89648,201.0,-272.69785,18.010063,-247.57864,-295.50653,201.0,28140,0.0,0.0,455.87849473953247,0.1828031,-1853.2247
-278.1038,5.620575,-272.48322,-283.72437,201.0,-270.94592,4.1708426,-265.773,-276.27225,201.0,28944,0.0,0.0,498.78798818588257,0.18593091,-1853.2247
-276.96436,4.536545,-272.4278,-281.5009,201.0,-265.7041,9.781034,-250.47316,-274.50623,201.0,29748,0.0,0.0,543.4971835613251,0.1731743,-1853.2247
-240.43398,8.096741,-232.33723,-248.53072,201.0,-258.06256,5.1345696,-249.73268,-263.24008,201.0,30552,0.0,0.0,587.2619416713715,0.1708545,-1853.2247
-260.89978,4.7274323,-256.17236,-265.62723,201.0,-259.5026,12.638244,-247.89767,-278.5366,201.0,31356,0.0,0.0,629.6026608943939,0.17409389,-1853.2247
